,complaint_id,date_received,district_occurrence,general_cap_classification,summary,incident_date,complainant_sex,complainant_race,complainant_age,officer_id,po_race,po_sex,po_assigned_unit,allegations_investigated,investigative_findings,disciplinary_findings
766,15-0708,2015-12-01,800, DEPARTMENTAL VIOLATIONS,"According to the complainant, on 3-18-15 at 12:00pm, officers and supervisors, assigned to Canine, violated departmental policies.",3-18-15,female,unreported,,56655389.0,white,female,5861 CANINE UNIT,Departmental Violation,No Sustained Findings,Not Applicable
773,15-0709,2015-12-01,900, PHYSICAL ABUSE,"According to the complainant, on 10-14-15 at 9:00pm, three juveniles were physically and verbally abused by officers assigned to the 9th District.",10-14-15,female,unreported,,,unreported,unreported,,Verbal Abuse,No Sustained Findings,Not Applicable
781,15-0710,2015-12-01,100, LACK OF SERVICE,"According to the complainant, on 4-19-10, detectives and a supervisor failed to do a proper investigation in reference to a shooting. The detectives and supervisors are assigned to South Detectives.",4-19-10,male,black,58.0,71463586.0,white,male,6100 SOUTH DETECTIVES,Lack of Service,No Sustained Findings,Not Applicable
787,15-0711,2015-12-02,1500, HARASSMENT,"According to the complainant, on 11-16-15, they did not receive proper service from an officer assigned to the 15th District.",11-16-15,female,white,50.0,27881509.0,white,male,1500 15TH DISTRICT,Verbal Abuse,No Sustained Findings,Not Applicable
791,15-0712,2015-12-02,2500, CRIMINAL ALLEGATION,"According to the complainant, on 11-12-15 at 8:00pm, they were verbally abused and their vehicle was improperly searched by a supervisor and officers assigned to the 25th District.",11-12-15,male,black,47.0,76921388.0,black,male,2500 25TH DISTRICT,Lack of Service,No Sustained Findings,Not Applicable
803,15-0713,2015-12-02,1200, LACK OF SERVICE,"According to the complainant, on 11-15-15 at 11:15pm , they did not receive proper service from officers assigned to the 12th District.",11-15-15,female,black,24.0,11798898.0,black,male,1200 12TH DISTRICT,Lack of Service,No Sustained Findings,Not Applicable
805,15-0714,2015-12-02,3500, LACK OF SERVICE,"According to the complainant, on 11-9-15 at 9:30pm, they did not receive proper service from officers assigned to the 35th District.",11-9-15,female,unreported,38.0,24119035.0,black,male,3500 35TH DISTRICT,Physical Abuse,No Sustained Findings,Not Applicable
809,15-0715,2015-12-02,100, PHYSICAL ABUSE,"According to the complainant, in late February, 2015, they were physically abused by officers assigned to the 1st District.",Unclear,male,white,,81195585.0,white,male,0100 01ST DISTRICT,Physical Abuse,No Sustained Findings,Not Applicable
812,15-0716,2015-12-02,2200, PHYSICAL ABUSE,"According to the complainant, on 11-10-15 at 1:30am, they were physically abused by an officer assigned to the 22nd District.",11-10-15,female,black,46.0,69356786.0,black,male,2200 22ND DISTRICT,Physical Abuse,No Sustained Findings,Not Applicable
813,15-0717,2015-12-03,2200, PHYSICAL ABUSE,"According to the complaint, on 11-28-15 at 7:20pm, they were harassed and threatened by an officer assigned to SWAT. This incident occurred in the confines of the 22nd District.",11-28-15,female,black,60.0,51629487.0,black,male,4601 S.W.A.T.,Physical Abuse,Sustained Finding,Guilty Finding
823,15-0718,2015-12-03,600, LACK OF SERVICE,"According to the complainant, on 11-12-15 at 12:15pm, they did not receive proper service from an officer assigned to the 6th District.",11-12-15,male,black,55.0,71914026.0,black,male,0600 06TH DISTRICT,Lack of Service,No Sustained Findings,Not Applicable
824,15-0719,2015-12-03,1800, DEPARTMENTAL VIOLATIONS,"According to the complainant, on 11-9-15 at 1:00pm, their juvenile family member was improperly detained by unknown 18th District officers.",11-9-15,female,black,44.0,,unreported,unreported,,Departmental Violation,No Sustained Findings,Not Applicable
825,15-0720,2015-12-04,1800, LACK OF SERVICE,"According to the complainant, in August, 2015, an unknown officer in the 18th District did not follow proper police procedures.",Unclear,female,white,60.0,,unreported,unreported,,Lack of Service,No Sustained Findings,Not Applicable
826,15-0721,2015-12-04,1800, DEPARTMENTAL VIOLATIONS,"According to the complainant, on 8-20-15, proper police procedures were not followed by an officer assigned to the 18th District.",8-20-15,female,black,47.0,96380235.0,black,male,1800 18TH DISTRICT,Departmental Violation,No Sustained Findings,Not Applicable
827,15-0722,2015-12-04,1900, HARASSMENT,"According to the complainant, on 11-29-15 at 4:00pm, they were harassed and improperly issued traffic citations by officers assigned to the 19th District.",11-29-15,male,black,46.0,83072358.0,black,male,1900 19TH DISTRICT,Verbal Abuse,No Sustained Findings,Not Applicable
832,15-0723,2015-12-08,600, VERBAL ABUSE,"According to the complainant, on 11-30-15 at 3:30pm, they were verbally abused by an officer assigned to Traffic. This incident occurred in the confines of the 6th District.",11-30-15,male,unreported,,16126825.0,white,male,5200 TRAFFIC DISTRICT,Verbal Abuse,No Sustained Findings,Not Applicable
833,15-0724,2015-12-08,600, VERBAL ABUSE,"According to the complainant, on 11-29-15 at 10:00pm, they were verbally abused by an officer assigned to the 6th District.",11-29-15,female,black,33.0,96491815.0,black,male,0600 06TH DISTRICT,Verbal Abuse,No Sustained Findings,Not Applicable
834,15-0725,2015-12-08,900, DEPARTMENTAL VIOLATIONS,"According to the complainant, on 11-17-15 at 8:05am, they were harassed by an officer assigned to the 9th District.",11-17-15,female,other,,25302469.0,black,female,0900 09TH DISTRICT,Departmental Violation,No Sustained Findings,Not Applicable
836,15-0726,2015-12-08,1800, PHYSICAL ABUSE,"According to the complainant, on 11-14-15 at 8:25pm, they were verbally and physically abused by an officer assigned to the 18th District.",11-14-15,male,black,30.0,62923776.0,black,male,1800 18TH DISTRICT,Physical Abuse,No Sustained Findings,Not Applicable
838,15-0727,2015-12-08,3500, PHYSICAL ABUSE,"According to the complainant, on 11-29-15 at 8:30pm, their friend was verbally abused by an officer assigned to the 35th District.",11-29-15,male,unreported,27.0,91568567.0,white,male,3500 35TH DISTRICT,Physical Abuse,No Sustained Findings,Not Applicable
840,15-0729,2015-12-08,800, CRIMINAL ALLEGATION,"According to the complainant, on 11-26-15 at 1:00pm, they were missing property after their arrest by an officer assigned to the 8th District.",11-26-15,male,white,36.0,,unreported,unreported,,Criminal Allegation,No Sustained Findings,Not Applicable
842,15-0730,2015-12-08,600, DEPARTMENTAL VIOLATIONS,"According to the complainant, on 11-15-15 at 7:30pm, they were treated unprofessionally by an officer assigned to the 6th District.",11-15-15,male,unreported,24.0,96491815.0,black,male,0600 06TH DISTRICT,Departmental Violation,No Sustained Findings,Not Applicable
843,15-0731,2015-12-08,1900, NON-INVESTIGATORY INCIDENT,"According to the complainant, on 12-2-15 at 7:20pm, they were improperly stopped and falsely issued tickets by an officer assigned to the 19th District.",12-2-15,female,unreported,44.0,60922548.0,black,male,1900 19TH DISTRICT,No C.A.P. Investigation,Not Applicable,Not Applicable
844,15-0732,2015-12-08,1900, DEPARTMENTAL VIOLATIONS,"According to the complainant, on 12-2-15 at 7:00pm, they were harassed by an officer assigned to the 19th District.",12-2-15,male,black,33.0,29664213.0,white,male,1900 19TH DISTRICT,Departmental Violation,No Sustained Findings,Not Applicable
846,15-0733,2015-12-08,1900, NON-INVESTIGATORY INCIDENT,"According to the complainant, on 11-27-15 at 12:27pm, they were falsely issued a traffic citation by an officer assigned to the 19th District.",11-27-15,female,asian,36.0,31795389.0,black,male,1900 19TH DISTRICT,No C.A.P. Investigation,Not Applicable,Not Applicable
848,15-0734,2015-12-10,1500, VERBAL ABUSE,"According to the complainant, on 12-4-15 at 1:30pm, they were verbally abused by an officer assigned to the 15th District.",12-4-15,female,black,31.0,97023965.0,white,male,1500 15TH DISTRICT,Verbal Abuse,No Sustained Findings,Not Applicable
850,15-0735,2015-12-22,1400, NON-INVESTIGATORY INCIDENT,"According to the complainant, on 12-5-15 at 7:12pm, they were harassed and improperly issued traffic citations by officers assigned to the 14th District.",12-5-15,male,black,31.0,60319330.0,white,male,1400 14TH DISTRICT,No C.A.P. Investigation,Not Applicable,Not Applicable
852,15-0736,2015-12-11,600, VERBAL ABUSE,"According to the complainant, on 4-10-15, they were verbally abused by and did not receive proper service from an officer assigned to the 6th District.",4-10-15,male,unreported,42.0,85803491.0,latino,male,0600 06TH DISTRICT,Lack of Service,No Sustained Findings,Not Applicable
854,15-0737,2015-12-11,100, DEPARTMENTAL VIOLATIONS,"According to the complainant, on 2-15-15 at 5:00pm, their property was improperly entered and they were falsely arrested by an officer assigned to the Narcotics Field Unit. This incident occurred in the confines of the 1st District.",2-15-15,female,black,53.0,71635248.0,black,male,7404 NARC FIELD UNIT EAS,Departmental Violation,No Sustained Findings,Not Applicable
855,15-0738,2015-12-11,2400, DEPARTMENTAL VIOLATIONS,"According to the complainant, on 10-29-15 at 5:50pm, they were falsely arrested by unidentified officers in the 25th District.",10-29-15,male,latino,31.0,20799104.0,asian,male,7400 NARCOTICS INTEL / I,Departmental Violation,No Sustained Findings,Not Applicable
857,15-0739,2015-12-14,600, DEPARTMENTAL VIOLATIONS,"According to the complainant, on 04-12-15 at 1:00am they were harassed by officers assigned to the 9th District and detective assigned to Central Detectives.",04-12-15,male,black,45.0,75287687.0,white,male,0900 09TH DISTRICT,Departmental Violation,No Sustained Findings,Not Applicable
860,15-0740,2015-12-14,1600, CRIMINAL ALLEGATION,"According to the complainant, on 4-12-15 at 1:00am, they were missing property after being arrested by officers assigned to the 24th District.",4-12-15,male,black,58.0,57120763.0,white,male,2200 22ND DISTRICT,Criminal Allegation,No Sustained Findings,Not Applicable
862,15-0741,2015-12-15,1400, DEPARTMENTAL VIOLATIONS,"According to the complainant, on 12-4-15 at 9:36pm, they were harassed by an officer assigned to the 14th District.",12-4-15,male,black,26.0,50970994.0,white,male,1400 14TH DISTRICT,Departmental Violation,No Sustained Findings,Not Applicable
863,15-0742,2015-12-22,1500, NON-INVESTIGATORY INCIDENT,"According to the complainant, on 10-24-12, they were arrested for assault. The complainant stated the police report was changed by an officer assigned to the 15th District.",10-24-12,female,black,52.0,60288259.0,white,female,1500 15TH DISTRICT,No C.A.P. Investigation,Not Applicable,Not Applicable
864,15-0743,2015-12-15,2500, DEPARTMENTAL VIOLATIONS,"According to the complainant, on 11-29-15 at 10:00pm, they were verbally abused by officers assigned to the 25th District.",11-29-15,female,black,26.0,33907167.0,white,male,2500 25TH DISTRICT,Departmental Violation,No Sustained Findings,Not Applicable
870,15-0744,2015-12-15,1700, PHYSICAL ABUSE,"According to the complainant, on 12-8-15 at 12:10pm, they were physically abused by an officer assigned to the 17th District.",12-8-15,male,black,33.0,40614148.0,white,male,1700 17TH DISTRICT,Physical Abuse,No Sustained Findings,Not Applicable
871,15-0745,2015-12-15,1400, DEPARTMENTAL VIOLATIONS,"According to the complainant, on 11-19-15 at 8:40pm, their residence was improperly entered by officers assigned to the 14th District.",11-19-15,female,black,32.0,53128778.0,white,male,1400 14TH DISTRICT,Departmental Violation,No Sustained Findings,Not Applicable
873,15-0746,2015-12-15,3500, DOMESTIC,"According to the complainant, on 12-7-15 at 3:30pm, a false police report was prepared by an officer assigned to Court Liaison. This incident occurred in the confines of the 35th District.",12-7-15,female,black,26.0,15188524.0,black,female,4912 COURT LIAISON UNIT,Departmental Violation,Sustained Finding,No Guilty Findings
875,15-0747,2015-12-16,1200, LACK OF SERVICE,"According to the complainant, on 11-20-15 at 6:45pm, they did not receive proper service from officers assigned to the 12th District.",11-20-15,female,black,45.0,85068952.0,white,male,1200 12TH DISTRICT,Departmental Violation,Sustained Finding,Training/Counseling
879,15-0748,2015-12-16,600, CRIMINAL ALLEGATION,"According to the complainant, on 6-22-15, they did not receive proper service from unknown Police Detention Unit employees.",6-22-15,male,white,60.0,,unreported,unreported,,Verbal Abuse,No Sustained Findings,Not Applicable
881,15-0749,2015-12-16,800, UNPROFESSIONAL CONDUCT,"According to the complainant, on 9-19-15 at 12:35am, they were treated unprofessionally by officers assigned to the 8th District.",9-19-15,male,white,25.0,80194627.0,white,male,0800 08TH DISTRICT,Unprofessional Conduct,No Sustained Findings,Not Applicable
883,15-0750,2015-12-23,3500, NON-INVESTIGATORY INCIDENT,"According to the complainant, on 11-28-15 at 6:00am, they did not receive proper service from officers assigned to the 35th District.",11-28-15,female,unreported,,14938585.0,black,female,3500 35TH DISTRICT,No C.A.P. Investigation,Not Applicable,Not Applicable
885,15-0751,2015-12-16,2500, CRIMINAL ALLEGATION,"According to the complainant, on 11-26-15 at 9:30am, they are missing property and were physically abused by an officer assigned to the 25th District.",11-26-15,male,black,73.0,42163907.0,black,male,2500 25TH DISTRICT,Physical Abuse,No Sustained Findings,Not Applicable
890,15-0752,2015-12-16,1500, VERBAL ABUSE,"According to the complainant, on 10-31-15 at 3:21am, they were verbally abused and did not receive proper service from officers assigned to the 15th District.",10-31-15,male,white,26.0,,unreported,unreported,,Verbal Abuse,No Sustained Findings,Not Applicable
893,15-0753,2015-12-16,300, UNPROFESSIONAL CONDUCT,"According to the complainant, on 5-28-15 at 11:35pm, they did not receive proper service from an officer assigned to the 3rd District.",5-28-15,male,white,46.0,30683023.0,black,male,0300 03RD DISTRICT,Unprofessional Conduct,No Sustained Findings,Not Applicable
894,15-0754,2015-12-16,3900, LACK OF SERVICE,"According to the complainant, on 9-21-15 at 9:00am, they did not receive proper service from officers assigned to the 39th District.",9-21-15,female,asian,,36068384.0,white,male,9807 SUPP POLICE SERVICE,Lack of Service,No Sustained Findings,Not Applicable
896,15-0755,2015-12-28,2400, NON-INVESTIGATORY INCIDENT,"According to the complainant, on 12-10-15 at 10:30pm, they were improperly searched and falsely arrested by an unknown officer within the 24th District.",12-10-15,male,white,18.0,,unreported,unreported,,No C.A.P. Investigation,Not Applicable,Not Applicable
897,15-0756,2015-12-28,3500, VERBAL ABUSE,"According to the complainant, on 12-10-15, 10:30am, they were harassed by an officer assigned to the 35th District.",12-10-15,male,black,28.0,81329137.0,white,male,3500 35TH DISTRICT,Verbal Abuse,No Sustained Findings,Not Applicable
898,15-0757,2015-12-28,3500, VERBAL ABUSE,"According to the complainant, on 12-08-15 at 11:58am, they were verbally abused by an officer assigned to the 35th District.",12-08-15,female,latino,39.0,19545633.0,latino,male,3500 35TH DISTRICT,Verbal Abuse,No Sustained Findings,Not Applicable
899,15-0758,2015-12-28,1500, VERBAL ABUSE,"According to the complainant, on 10-21-15 at 8:00pm, they were verbally abused by an unknown officer within the confines of the 15th District.",10-21-15,female,white,41.0,,unreported,unreported,,Verbal Abuse,No Sustained Findings,Not Applicable
900,15-0759,2015-12-29,700, DOMESTIC,"According to the complainant, they have been harassed on several different occasions by a supervisor assigned to the 2nd District.",Unclear,female,white,48.0,68279954.0,white,male,0700 07TH DISTRICT,Domestic,No Sustained Findings,Not Applicable
901,15-0760,2015-12-28,2200, VERBAL ABUSE,"According to the complainant, on 12-6-15 at 6:17pm, they were verbally abused by officers assigned to Highway Patrol. This incident occurred in the confines of the 22nd District.",12-6-15,female,black,31.0,50740625.0,black,female,5300 HIGHWAY PATROL,Verbal Abuse,No Sustained Findings,Not Applicable
903,15-0761,2015-12-29,1800, VERBAL ABUSE,"According to the complainant, on 12-10-15, they were verbally abused by an officer assigned to the 18th District.",12-10-15,male,black,45.0,81689454.0,black,male,1800 18TH DISTRICT,Verbal Abuse,No Sustained Findings,Not Applicable
904,15-0762,2015-12-31,1400, NON-INVESTIGATORY INCIDENT,"According to the complainant, on 12-15-15 at 3:04am, they were falsely issued a traffic citation by an officer assigned to the 14th District.",12-15-15,male,black,46.0,10005037.0,white,male,1400 14TH DISTRICT,No C.A.P. Investigation,Not Applicable,Not Applicable
905,15-0763,2015-12-31,700, NON-INVESTIGATORY INCIDENT,"According to the complainant, on 12-15-15 at 5:20pm, they were threatened by officers assigned to the 7th District.",12-15-15,male,white,35.0,11133195.0,latino,male,0700 07TH DISTRICT,No C.A.P. Investigation,Not Applicable,Not Applicable
907,15-0764,2015-12-31,3500, DEPARTMENTAL VIOLATIONS,"According to the complainant, on 12-16-15 at 10:50am, they were harassed and falsely issued traffic citations by officers assigned to the 35th District.",12-16-15,male,black,40.0,90262910.0,white,male,3500 35TH DISTRICT,Harassment,No Sustained Findings,Not Applicable
912,15-0765,2015-12-31,1500, NON-INVESTIGATORY INCIDENT,"According to the complainant, on 9-10-14, they were falsely arrested by a detective assigned to Northeast Detective Division.",9-10-14,male,white,46.0,43567239.0,white,male,9844 Domestic Prepardnes,No C.A.P. Investigation,Not Applicable,Not Applicable
913,15-0766,2015-12-31,600, VERBAL ABUSE,"According to the complainant, on 12-21-15 at 7:55pm, they were threatened by an officer by an officer assigned to the 6th District.",12-21-15,male,unreported,41.0,65283090.0,black,male,0600 06TH DISTRICT,Verbal Abuse,No Sustained Findings,Not Applicable
915,15-0767,2015-12-31,1900, DEPARTMENTAL VIOLATIONS,"According to the complainant, on 12-21-15 at 9:30pm, they were harassed by officers assigned to Counter Terrorism. This incident occurred in the confines of the 19th District.",12-21-15,female,black,25.0,63972799.0,latino,male,1900 19TH DISTRICT,Departmental Violation,No Sustained Findings,Not Applicable
917,15-0768,2015-12-31,2400, LACK OF SERVICE,"According to the complainant, on 12-18-15 at 11:40am, proper police procedures were not followed by a supervisor assigned to the 24th District.",12-18-15,male,white,43.0,21874906.0,black,male,9844 Domestic Prepardnes,Unprofessional Conduct,No Sustained Findings,Not Applicable
919,15-0769,2015-12-31,1900, LACK OF SERVICE,"According to the complainant, on 11-5-15 at 12:44pm, they did not receive proper service from officers assigned to the 19th District.",11-5-15,female,black,25.0,61940500.0,black,male,1900 19TH DISTRICT,Referred to Other Agency/C.A.P. Investigation,No Sustained Findings,Not Applicable
921,15-0770,2015-12-31,3900, DEPARTMENTAL VIOLATIONS,"According to the complainant, on 12-9-15 at 7:30pm, proper police procedures were not followed by officers assigned to the 35th District.",12-9-15,female,black,42.0,39468480.0,white,male,3500 35TH DISTRICT,Departmental Violation,Sustained Finding,Training/Counseling
929,15-0771,2015-12-31,100, VERBAL ABUSE,"According to the complainant, on 12-13-15 at 11:00am, they were verbally abused by an officer assigned to the 1st District.",12-13-15,female,black,47.0,61901361.0,white,female,0100 01ST DISTRICT,Verbal Abuse,No Sustained Findings,Not Applicable
930,15-0772,2015-12-31,1200, LACK OF SERVICE,"According to the complainant, on 12-15-15 at 2:30pm, they did not receive proper service from officers assigned to the 12th District.",12-15-15,female,black,23.0,93447744.0,black,male,1200 12TH DISTRICT,Lack of Service,No Sustained Findings,Not Applicable
932,15-0773,2015-12-31,1200, LACK OF SERVICE,"According to the complainant, on 12-19-15 at 1:00pm, they did not receive proper service from officers assigned to the 12th District.",12-19-15,female,black,31.0,86991731.0,black,male,1200 12TH DISTRICT,Lack of Service,No Sustained Findings,Not Applicable
934,15-0774,2015-12-31,1200, LACK OF SERVICE,"According to the complainant, on 12-25-15 at 5:35am, they did not receive proper service from an officer assigned to the 12th District.",12-25-15,female,white,42.0,98846666.0,black,male,1200 12TH DISTRICT,Lack of Service,No Sustained Findings,Not Applicable
935,15-0775,2015-12-31,3900, DEPARTMENTAL VIOLATIONS,"According to the complainant, on 12-24-15 at 11:30pm, they are missing property after a search of their property by unidentified officers in the 39th District.",12-24-15,female,latino,47.0,17478830.0,black,male,3900 39TH DISTRICT,Departmental Violation,No Sustained Findings,Not Applicable
937,15-0776,2015-12-31,3900, DEPARTMENTAL VIOLATIONS,"According to the complainant, on 12-27-15 at 12:47pm, they were treated unprofessionally by an officer assigned to the 39th District.",12-27-15,female,black,62.0,18186761.0,black,female,3900 39TH DISTRICT,Departmental Violation,Sustained Finding,Training/Counseling
939,15-0777,2015-12-31,2500, NON-INVESTIGATORY INCIDENT,"According to the complainant, on 6-26-14 at 7:36pm, they were falsely arrested by an officer assigned to the 25th District.",6-26-14,male,black,49.0,36378061.0,latino,male,2500 25TH DISTRICT,No C.A.P. Investigation,Not Applicable,Not Applicable
940,15-0778,2015-12-31,1200, NON-INVESTIGATORY INCIDENT,"According to the complainant, on 5-25-14 at 4:55pm, proper police procedure was not followed by a detective assigned to Southwest Detective Division.",5-25-14,male,black,,68135072.0,white,female,6500 SOUTHWEST DET,No C.A.P. Investigation,Not Applicable,Not Applicable
941,15-0779,2015-12-31,2200, DEPARTMENTAL VIOLATIONS,"According to the complainant, on 12-25-15 at 1:00am, they did not receive proper police service from an officer assigned to the 22nd District.",12-25-15,female,black,41.0,72490808.0,black,male,2200 22ND DISTRICT,Lack of Service,No Sustained Findings,Not Applicable
943,15-0780,2015-12-31,1800, LACK OF SERVICE,"According to the complainant, on 12-25-15 at 12:00pm, they did not receive proper service from an officer assigned to the 18th District.",12-25-15,female,black,37.0,72911207.0,white,male,1800 18TH DISTRICT,Lack of Service,No Sustained Findings,Not Applicable
944,15-0781,2015-12-31,1500, PHYSICAL ABUSE,"According to the complainant, on 12-8-15 at 9:00pm, their family member was physically abused by officers assigned to the 15th District.",12-8-15,male,white,57.0,15923234.0,white,male,1500 15TH DISTRICT,Investigation OnGoing,Pending,Pending
950,15-0782,2015-12-31,1700, VERBAL ABUSE,"According to the complainant, on 12-6-15 at 12:40pm, they were verbally abused by an officer assigned to the 17th District.",12-6-15,female,white,40.0,12759172.0,asian,male,1700 17TH DISTRICT,Verbal Abuse,No Sustained Findings,Not Applicable
951,15-0783,2015-12-31,1800, LACK OF SERVICE,"According to the complainant, on 12-6-15 at 3:52am, they did not receive proper service from an unidentified 911 dispatcher.",12-6-15,male,white,33.0,76088830.0,latino,female,4923 RADIO ROOM,Lack of Service,No Sustained Findings,Not Applicable
955,15-0784,2015-12-31,1900, LACK OF SERVICE,"According to the complainant, on 8-23-15 at 11:30pm, they did not receive proper service from a detective assigned to Southwest Detective Division.",8-23-15,female,black,26.0,12539102.0,white,male,6500 SOUTHWEST DET,Lack of Service,No Sustained Findings,Not Applicable
956,15-0785,2015-12-31,2600, LACK OF SERVICE,"According to the complainant, on 11-27-15 at 4:30pm, they did not receive proper service from an officer assigned to the 26th District.",11-27-15,female,asian,42.0,85713540.0,white,male,2600 26TH DISTRICT,Lack of Service,No Sustained Findings,Not Applicable
957,15-0786,2015-12-31,700, DEPARTMENTAL VIOLATIONS,"According to the complainant, on 11-26-15 at 7:00pm, unknown officers misused departmental computer systems. This incident occurred in the confines of the 7th District.",11-26-15,female,latino,45.0,35741197.0,white,male,1400 14TH DISTRICT,Departmental Violation,Sustained Finding,Guilty Finding
958,15-0787,2015-12-31,200, LACK OF SERVICE,"According to the complainant, on 12-14-15 at 7:00am, their family did not receive proper service from a supervisor and officers assigned to the 2nd District.",12-14-15,male,other,26.0,57045747.0,asian,male,0200 02ND DISTRICT,Lack of Service,No Sustained Findings,Not Applicable
960,15-0788,2015-12-31,2200, PHYSICAL ABUSE,"According to the complainant, on 12-24-15 at 12:29am, they physically abused by officers assigned to the 22nd District.",12-24-15,male,black,46.0,44435674.0,white,male,2200 22ND DISTRICT,Physical Abuse,No Sustained Findings,Not Applicable
962,15-0789,2015-12-31,1400, CRIMINAL ALLEGATION,"According to the complainant, on 11-26-15 at 7:00pm, they were harassed and departmental policies were violated by an off duty officer assigned to the 25th District.",11-26-15,male,black,30.0,80495550.0,black,male,4924 RADIO ROOM - DPR,Criminal Allegation,No Sustained Findings,Not Applicable
964,15-0790,2015-12-31,900, LACK OF SERVICE,"According to the complainant, on 12-18-15 at 3:45pm, they did not receive proper service from a supervisor and officers assigned to the 9th District.",12-18-15,male,black,27.0,75416261.0,white,male,0900 09TH DISTRICT,Lack of Service,No Sustained Findings,Not Applicable
967,15-0791,2015-12-31,200, LACK OF SERVICE,"According to the complainant, on 1-23-14 at 3:44pm, they did not receive proper service from an officer assigned to the 2nd District.",1-23-14,male,white,80.0,90889131.0,white,male,0200 02ND DISTRICT,Lack of Service,No Sustained Findings,Not Applicable
968,15-0792,2015-12-31,1400, LACK OF SERVICE,"According to the complainant, on 12-26-15 at 12:00am, they did not receive proper service from officers assigned to the 14th District.",12-26-15,male,black,31.0,10005037.0,white,male,1400 14TH DISTRICT,Lack of Service,Sustained Finding,Training/Counseling
971,16-0001,2016-01-19,1700, DEPARTMENTAL VIOLATIONS,"According to the complainant, on 1-2-16 at approximately 5:03am,, the complainant, an off-duty Philadelphia Police officer, was involved in an incident with several on-duty Philadelphia Police officers assigned to the 17th District.",1-2-16,male,white,28.0,,unreported,unreported,,No C.A.P. Investigation,Not Applicable,Not Applicable
972,16-0002,2016-01-19,2400, NON-INVESTIGATORY INCIDENT,"According to the complainant, on 1-2-16, they were harassed by officers assigned to the 24th District.",1-2-16,female,black,23.0,49788591.0,latino,male,9807 SUPP POLICE SERVICE,No C.A.P. Investigation,Not Applicable,Not Applicable
973,16-0003,2016-01-19,1900, NON-INVESTIGATORY INCIDENT,"According to the complainant, on 12-29-15 at 6:45pm, they were improperly issued traffic citations by officers assigned to the 19th District.",12-29-15,female,black,25.0,16617433.0,black,male,1900 19TH DISTRICT,No C.A.P. Investigation,Not Applicable,Not Applicable
974,16-0004,2016-01-11,700, VERBAL ABUSE,"According to the complainant, on 1-3-16 at 8:05pm,, they were verbally abused by an officer assigned to the Traffic Unit within the confines of the 7th district.",1-3-16,male,black,26.0,42698976.0,white,male,5200 TRAFFIC DISTRICT,Verbal Abuse,No Sustained Findings,Not Applicable
975,16-0005,2016-01-11,7700, VERBAL ABUSE,"According to the complainant, on 12-24- they were verbally abused by an officer assigned to the Airport Unit.",Unclear,male,unreported,47.0,10551607.0,black,female,7700 AIRPORT,Verbal Abuse,No Sustained Findings,Not Applicable
976,16-0006,2016-01-11,1500, LACK OF SERVICE,"According to the complainant, on 7-15-15 at 7:00pm, they did not receive proper service from officers assigned to the 15th District.",7-15-15,male,black,50.0,,unreported,unreported,,Lack of Service,No Sustained Findings,Not Applicable
978,16-0007,2016-01-11,900, UNPROFESSIONAL CONDUCT,"According to the complainant, on 12-19-15 at 6:30am, they were treated unprofessionally by an unidentified police dispatcher.",12-19-15,female,black,,75233613.0,other,female,4921 RADIO ROOM,Unprofessional Conduct,No Sustained Findings,Not Applicable
979,16-0008,2016-01-11,1900, LACK OF SERVICE,"According to the complainant, on 12-26-15 at 9:30am, they did not receive proper service from an unidentified 911 call taker, and officers assigned to the 19th District.",12-26-15,female,unreported,,80038415.0,black,female,1900 19TH DISTRICT,Departmental Violation,Sustained Finding,Training/Counseling
985,16-0009,2016-01-11,1200, DEPARTMENTAL VIOLATIONS,"According to the complainant, on 12-30-15 and 12-31-15 they were treated unprofessionally by officers assigned to the 12th District.",12-30-15,female,black,,66221391.0,white,male,1200 12TH DISTRICT,Departmental Violation,No Sustained Findings,Not Applicable
987,16-0010,2016-01-13,1500, LACK OF SERVICE,"According to the complainant, on 8-15-15 at 10:00pm, they did not receive proper service from two detectives assigned to Northeast Detective Division.",8-15-15,male,other,45.0,75370256.0,white,male,6400 NORTHEAST DET,Lack of Service,No Sustained Findings,Not Applicable
989,16-0011,2016-01-11,2200, LACK OF SERVICE,"According to the complainant, on 12-2-15 at 11:13am, they did not receive proper service from officers assigned to the 22nd District.",12-2-15,female,black,37.0,,unreported,unreported,,Lack of Service,No Sustained Findings,Not Applicable
990,16-0012,2016-01-13,1800, DEPARTMENTAL VIOLATIONS,"According to the complainant, on 12-26-15 at 6:20pm, officers assigned to the 18th District did not follow proper police procedure.",12-26-15,female,black,26.0,68399946.0,white,male,1800 18TH DISTRICT,Departmental Violation,No Sustained Findings,Not Applicable
996,16-0013,2016-01-13,1500, CRIMINAL ALLEGATION,"According to the complainant, on 1-6-16 at 2:55pm, property is missing after officers searched their home. This incident occurred within the confines of the 15th District.",1-6-16,female,black,46.0,,unreported,unreported,,Criminal Allegation,No Sustained Findings,Not Applicable
997,16-0014,2016-01-13,2400, DEPARTMENTAL VIOLATIONS,"According to the complainant, on 1-4-15 at 6:15pm they were harassed by officers assigned to the 24th District.",1-4-15,male,other,27.0,78960725.0,white,male,2400 24TH DISTRICT,Departmental Violation,No Sustained Findings,Not Applicable
